name;r2_score;time;parameters
mean;0.8107323893462905;0.014999151229858398;
median;0.8003826353063962;0.04399919509887695;
Decision Tree;0.9341349462892442;227.939777135849;45
K-nearest neighbors;0.8948069637123389;362.20502972602844;20
Linear Regression;0.8728801919321698;0.392977237701416;
K-means;0.8686372329538146;24.664367198944092;44
EM algorithm;0.9226174994106717;30.173112630844116;2
Extra Trees;0.939617590149988;1387.7997715473175;50
Random Forest;0.9379004613590438;4485.083207368851;40
ANN;0.8959914061247533;1850.9463143348694;
