name;r2_score;time;parameters
mean;0.8768677330959807;0.007983207702636719;
median;0.8708114357405632;0.017972230911254883;
Decision Tree;0.9555351219008982;49.52299785614014;15
K-nearest neighbors;0.9161253022729325;1.1569712162017822;12
Linear Regression;0.9810631575188036;0.6619348526000977;
K-means;0.9104782662188063;4.085968732833862;4
EM algorithm;0.9817487470590324;5.870000600814819;4
Extra Trees;0.9716957701000016;692.557178735733;100
Random Forest;0.9701921135639445;1048.9279551506042;70
ANN;0.9819465093421038;229.5678687095642;
