name;r2_score;time;parameters
mean;0.6907029708430241;0.00800013542175293;
median;0.6882937111246843;0.01699972152709961;
Decision Tree;0.9158544899171671;22.74500823020935;5
K-nearest neighbors;0.9163828370757594;31.185010194778442;46
Linear Regression;0.9041646620459196;0.15921783447265625;
K-means;0.8387781400006821;8.818674087524414;18
EM algorithm;0.9277860556821297;11.913000106811523;2
Extra Trees;0.9306972361971294;89.93005156517029;50
Random Forest;0.9278618794409071;241.50200057029724;40
ANN;0.9213347371063831;327.95250511169434;
