name;r2_score;time;parameters
mean;0.48327832759106193;0.006000041961669922;
median;0.4322358421270423;0.013000011444091797;
Decision Tree;0.5283786896832;5.469038724899292;75
K-nearest neighbors;0.560611101970406;0.8700082302093506;16
Linear Regression;0.6545289465269994;0.05999922752380371;
K-means;0.5216344937884;3.7280020713806152;16
EM algorithm;0.6360976436962056;4.523000955581665;2
Extra Trees;0.6688409953412684;126.43204402923584;70
Random Forest;0.6531308886011132;167.24896812438965;10
ANN;0.6109562741539384;47.39719367027283;
