name;r2_score;RMSE;time;parameters
mean;0.4194149547029089;105.27346383174651;0.02400064468383789;
median;0.36856293120149564;107.86126650708029;0.05899977684020996;
DecisionTree;0.5001816245084736;116.52619016710227;67.30673551559448;{'estimator__min_samples_split': 2, 'estimator__min_samples_leaf': 7, 'estimator__max_depth': 6}
KNN;0.45561135565807576;103.4819654463205;258.88196849823;{'weights': 'uniform', 'n_neighbors': 48}
LinearRegression;0.43926152595889834;111.55707390343693;0.548961877822876;
Kmeans;0.4248188759383499;105.2434630080126;6.849724531173706;{'n_clusters': 11}
EM;0.539696086773097;101.98628146916575;19.55302906036377;{'num_iters': 2}
ExtraTreesRegressor;0.5149021517966303;102.36343359030093;204.1123869419098;{'estimator__max_depth': 3, 'estimator__min_samples_leaf': 8, 'estimator__min_samples_split': 6, 'estimator__n_estimators': 81}
RandomForestRegressor;0.5113972561890113;111.22479510894193;1076.8336026668549;{'estimator__max_depth': 72, 'estimator__min_samples_leaf': 17, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 81}
ANN;0.5399236506460743;102.67670567778275;574.4742360115051;
